Date,Open,High,Low,Close,Volume,Adj Close
2023-01-03,89.58999633789062,91.05000305175781,88.5199966430664,89.12000274658203,28131200,88.69595336914062
2023-01-04,90.3499984741211,90.6500015258789,87.2699966430664,88.08000183105469,34854800,87.66089630126953
2023-01-05,87.47000122070312,87.56999969482422,85.9000015258789,86.19999694824219,27194400,85.78984832763672
2023-01-06,86.79000091552734,87.69000244140625,84.86000061035156,87.33999633789062,41381500,86.92440795898438
2023-01-09,88.36000061035156,90.05000305175781,87.86000061035156,88.0199966430664,29003900,87.6011734008789
2023-01-10,85.9800033569336,88.66999816894531,85.83000183105469,88.41999816894531,30467800,87.99927520751953
2023-01-11,89.18000030517578,91.5999984741211,89.01000213623047,91.5199966430664,26862000,91.08451843261719
2023-01-12,91.4800033569336,91.87000274658203,89.75,91.12999725341797,30258100,90.69638061523438
2023-01-13,90.8499984741211,92.19000244140625,90.12999725341797,92.12000274658203,26329200,91.68167877197266
2023-01-17,92.05999755859375,92.25,90.05000305175781,91.29000091552734,32602400,90.85562896728516
2023-01-18,92.13999938964844,92.80000305175781,90.63999938964844,91.12000274658203,29116700,90.68643951416016
2023-01-19,90.72000122070312,93.61000061035156,90.62999725341797,93.05000305175781,37000400,92.60726165771484
2023-01-20,95.0999984741211,98.30000305175781,95.0199966430664,98.0199966430664,63191100,97.55359649658203
2023-01-23,97.94999694824219,100.04000091552734,97.5,99.79000091552734,40005100,99.315185546875
2023-01-24,98.0999984741211,99.61000061035156,97.19999694824219,97.69999694824219,33078500,97.23512268066406
2023-01-25,95.56999969482422,96.16000366210938,93.76000213623047,95.22000122070312,42330000,94.76692199707031
2023-01-26,96.5,97.56999969482422,95.37999725341797,97.5199966430664,30114000,97.05597686767578
2023-01-27,97.30999755859375,100.31999969482422,97.30999755859375,99.37000274658203,33879800,98.89718627929688
2023-01-30,97.4800033569336,98.29000091552734,96.4000015258789,96.94000244140625,27226200,96.47874450683594
2023-01-31,96.87000274658203,98.87999725341797,96.81999969482422,98.83999633789062,29870700,98.36969757080078
2023-02-01,98.70999908447266,101.19000244140625,97.58000183105469,100.43000030517578,35531100,99.95213317871094
2023-02-02,105.80000305175781,107.8499984741211,105.61000061035156,107.73999786376953,69883800,107.22734069824219
2023-02-03,102.93000030517578,107.80999755859375,102.58000183105469,104.77999877929688,65309300,104.28143310546875
2023-02-06,102.4000015258789,104.36000061035156,101.87999725341797,102.9000015258789,31999600,102.4103775024414
2023-02-07,103.22000122070312,108.18000030517578,103.12000274658203,107.63999938964844,49010200,107.12782287597656
2023-02-08,102.05000305175781,103.13999938964844,98.04000091552734,99.37000274658203,94743500,98.89718627929688
2023-02-09,100.0,100.02999877929688,93.62999725341797,95.01000213623047,119455000,94.55792999267578
2023-02-10,95.44999694824219,96.75,94.25,94.56999969482422,54980700,94.12001037597656
2023-02-13,94.73999786376953,95.19999694824219,93.83999633789062,94.61000061035156,50076100,94.15982055664062
2023-02-14,94.43000030517578,94.8499984741211,92.26000213623047,94.68000030517578,54726100,94.2294921875
2023-02-15,94.48999786376953,97.12000274658203,94.1500015258789,96.94000244140625,50169000,96.47874450683594
2023-02-16,95.37000274658203,97.68000030517578,94.73999786376953,95.51000213623047,42462600,95.0555419921875
2023-02-17,94.8499984741211,95.55999755859375,93.20999908447266,94.3499984741211,34284100,93.90105438232422
2023-02-21,93.0,93.0999984741211,91.72000122070312,91.79000091552734,33629300,91.3532485961914
2023-02-22,91.69999694824219,92.11000061035156,90.61000061035156,91.6500015258789,30884000,91.21391296386719
2023-02-23,91.91999816894531,91.94000244140625,89.76000213623047,90.88999938964844,41206400,90.45752716064453
2023-02-24,89.44000244140625,89.88999938964844,88.58000183105469,89.12999725341797,36585100,88.70590209960938
2023-02-27,89.87000274658203,90.16000366210938,89.33999633789062,89.87000274658203,27502300,89.4423828125
2023-02-28,89.33000183105469,91.2300033569336,89.31999969482422,90.05999755859375,30142000,89.63147735595703
2023-03-01,89.9800033569336,91.02999877929688,89.66999816894531,90.36000061035156,31111200,89.9300537109375
2023-03-02,89.66000366210938,92.27999877929688,89.58999633789062,92.0,32204400,91.56224822998047
2023-03-03,92.4800033569336,93.7300033569336,92.44999694824219,93.6500015258789,35160100,93.20439910888672
2023-03-06,94.0199966430664,95.97000122070312,94.0,95.12999725341797,32639300,94.67735290527344
2023-03-07,94.9800033569336,95.66999816894531,93.52999877929688,93.86000061035156,27835500,93.41339874267578
2023-03-08,94.12000274658203,95.95999908447266,94.0,94.25,34103300,93.8015365600586
2023-03-09,94.05000305175781,95.52999877929688,91.9000015258789,92.31999969482422,28813500,91.88072204589844
2023-03-10,92.16999816894531,92.79000091552734,90.4000015258789,90.62999725341797,35941000,90.1987533569336
2023-03-13,90.08999633789062,92.56999969482422,89.41999816894531,91.11000061035156,37335600,90.67648315429688
2023-03-14,92.55999755859375,94.36000061035156,92.44000244140625,93.97000122070312,36050200,93.52286529541016
2023-03-15,93.22000122070312,96.93000030517578,92.63999938964844,96.11000061035156,50622100,95.6526870727539
2023-03-16,96.19999694824219,101.19000244140625,95.5,100.31999969482422,65492000,99.84265899658203
2023-03-17,100.26000213623047,102.83999633789062,100.0999984741211,101.62000274658203,61028500,101.136474609375
